resource	start_state	start_sha256	end_state	end_sha256	end_mode
skills/align-work/assets/packet-templates/plan.md	late-discovered-untracked-excluded	494fb9a703893bbcb34bb8802a0a0c7ea1c28adfea60adb0e63352ebbd14a62c	present-excluded-live	not-stable-external-writer	644
skills/align-work/assets/packet-templates/state.json	late-discovered-untracked-excluded	a4395ff56c920bd4246380b176733fdfd170e97f195c13c4ca9ef60b88d218ad	present-excluded-live	not-stable-external-writer	644
skills/align-work/references/execute-approved-plan.md	late-discovered-untracked-excluded	58c9d01a30fcb9ca05b8cf0fc3ff54ab292dd081f8e66bacf4cfbcc900216d2c	present-excluded-live	not-stable-external-writer	644
skills/align-work/references/explore-and-align.md	late-discovered-untracked-excluded	a7fed7e764d2c75b5f9c42daeab20bd116380cd93e1327c2f5e59bdca475bdb0	present-excluded-live	not-stable-external-writer	644
skills/align-work/references/packet-contract.md	late-discovered-untracked-excluded	0e808dc23cf4bca79f012dda8f8f0eabd38db0c8fd47e2658de55d391c786ed2	present-excluded-live	not-stable-external-writer	644
skills/align-work/references/review-plan.md	late-discovered-untracked-excluded	30c9f0c488a3ea771b3164e9073cddff5bba3763568f4a672a3b97e9e4884a8c	present-excluded-live	not-stable-external-writer	644
skills/align-work/references/write-plan.md	late-discovered-untracked-excluded	c229eb37d5f06804ca960c44bd1b477f615abb0108a857fe0629262c08ea5921	present-excluded-live	not-stable-external-writer	644
skills/align-work/scripts/planning_packet.py	late-discovered-untracked-excluded	de4a296f8acb4662b9af44b1ac29e13e146a48d80ced6e1712be82afde60b617	present-excluded-live	not-stable-external-writer	755
skills/align-work/tests/test_planning_packet.py	late-discovered-untracked-excluded	90e56af74923154193ba4841a884d27f8d1277fa6d26f020a98402629c13e80d	present-excluded-live	not-stable-external-writer	644
skills/align-work/tests/test_skill_contract.py	late-discovered-untracked-excluded	c9fc0ffa83fe1558cd474b4ddea46b649efee689e2231600a539cc9b161dd003	present-excluded-live	not-stable-external-writer	644
